month,lat,lng,sla_bucket,orders
2026-03,12.96,77.58,NonQuickDelivery,336
2026-03,12.915,77.64,QuickDelivery,290
2026-03,12.9,77.64,QuickDelivery,290
2026-03,12.93,77.61,QuickDelivery,281
2026-03,12.96,77.595,NonQuickDelivery,280
2026-03,12.975,77.58,NonQuickDelivery,259
2026-03,12.915,77.61,QuickDelivery,239
2026-03,13.005,77.565,NonQuickDelivery,230
2026-03,12.96,77.55,NonQuickDelivery,216
2026-03,12.945,77.595,NonQuickDelivery,207
2026-03,12.975,77.64,NonQuickDelivery,195
2026-03,12.945,77.625,QuickDelivery,180
2026-03,12.975,77.55,NonQuickDelivery,180
2026-03,12.96,77.565,NonQuickDelivery,179
2026-03,12.96,77.715,NonQuickDelivery,169
2026-03,13.005,77.55,NonQuickDelivery,168
2026-03,12.9,77.655,QuickDelivery,167
2026-03,13.005,77.58,NonQuickDelivery,156
2026-03,13.02,77.595,NonQuickDelivery,156
2026-03,12.945,77.58,NonQuickDelivery,154
2026-03,12.975,77.565,NonQuickDelivery,148
2026-03,12.99,77.61,NonQuickDelivery,147
2026-03,12.945,77.565,NonQuickDelivery,143
2026-03,12.93,77.67,QuickDelivery,138
2026-03,12.975,77.625,NonQuickDelivery,135
2026-03,12.915,77.625,QuickDelivery,134
2026-03,12.975,77.595,NonQuickDelivery,133
2026-03,13.02,77.55,NonQuickDelivery,131
2026-03,12.93,77.625,QuickDelivery,130
2026-03,12.99,77.58,NonQuickDelivery,125
2026-03,12.975,77.61,NonQuickDelivery,124
2026-03,13.035,77.595,NonQuickDelivery,123
2026-03,12.9,77.625,QuickDelivery,122
2026-03,12.99,77.595,NonQuickDelivery,121
2026-03,12.915,77.67,QuickDelivery,119
2026-03,12.99,77.55,NonQuickDelivery,114
2026-03,13.035,77.64,NonQuickDelivery,112
2026-03,12.96,77.64,NonQuickDelivery,109
2026-03,12.9,77.61,QuickDelivery,108
2026-03,12.96,77.61,NonQuickDelivery,105
2026-03,12.945,77.7,NonQuickDelivery,104
2026-03,12.945,77.715,NonQuickDelivery,104
2026-03,12.93,77.7,QuickDelivery,103
2026-03,12.915,77.655,QuickDelivery,101
2026-03,12.96,77.655,NonQuickDelivery,99
2026-03,13.035,77.565,NonQuickDelivery,99
2026-03,12.885,77.64,QuickDelivery,99
2026-03,13.005,77.625,NonQuickDelivery,98
2026-03,12.93,77.595,QuickDelivery,95
2026-03,12.99,77.685,NonQuickDelivery,92
2026-03,12.9,77.67,QuickDelivery,91
2026-03,12.99,77.565,NonQuickDelivery,91
2026-03,12.93,77.565,NonQuickDelivery,90
2026-03,12.9,77.595,QuickDelivery,90
2026-03,13.035,77.61,NonQuickDelivery,88
2026-03,13.035,77.55,NonQuickDelivery,85
2026-03,12.915,77.595,QuickDelivery,81
2026-03,12.96,77.535,NonQuickDelivery,79
2026-03,12.885,77.595,QuickDelivery,79
2026-03,12.915,77.685,QuickDelivery,77
2026-03,12.99,77.7,NonQuickDelivery,76
2026-03,12.99,77.535,NonQuickDelivery,76
2026-03,12.915,77.55,NonQuickDelivery,76
2026-03,12.96,77.7,NonQuickDelivery,76
2026-03,12.93,77.685,QuickDelivery,75
2026-03,13.02,77.64,NonQuickDelivery,73
2026-03,12.975,77.535,NonQuickDelivery,72
2026-03,13.02,77.61,NonQuickDelivery,72
2026-03,13.005,77.61,NonQuickDelivery,72
2026-03,13.02,77.58,NonQuickDelivery,70
2026-03,12.99,77.625,NonQuickDelivery,69
2026-03,12.915,77.565,NonQuickDelivery,68
2026-03,13.035,77.625,NonQuickDelivery,67
2026-03,13.02,77.625,NonQuickDelivery,67
2026-03,12.885,77.625,QuickDelivery,66
2026-03,12.975,77.7,NonQuickDelivery,65
2026-03,12.9,77.58,NonQuickDelivery,65
2026-03,12.945,77.55,NonQuickDelivery,65
2026-03,12.945,77.61,NonQuickDelivery,64
2026-03,12.93,77.64,QuickDelivery,64
2026-03,12.915,77.58,NonQuickDelivery,64
2026-03,13.005,77.595,NonQuickDelivery,63
2026-03,12.975,77.685,NonQuickDelivery,63
2026-03,12.93,77.58,QuickDelivery,62
2026-03,13.02,77.565,NonQuickDelivery,62
2026-03,13.005,77.7,NonQuickDelivery,62
2026-03,12.99,77.67,NonQuickDelivery,61
2026-03,12.975,77.745,NonQuickDelivery,61
2026-03,13.005,77.535,NonQuickDelivery,61
2026-03,12.96,77.52,NonQuickDelivery,61
2026-03,12.84,77.655,NonQuickDelivery,59
2026-03,12.93,77.55,NonQuickDelivery,58
2026-03,12.9,77.565,NonQuickDelivery,57
2026-03,12.945,77.52,NonQuickDelivery,57
2026-03,12.885,77.67,QuickDelivery,56
2026-03,12.9,77.7,QuickDelivery,56
2026-03,12.975,77.655,NonQuickDelivery,55
2026-03,12.885,77.655,QuickDelivery,55
2026-03,12.99,77.715,NonQuickDelivery,55
2026-03,12.9,77.685,QuickDelivery,55
2026-03,13.005,77.64,NonQuickDelivery,54
2026-03,12.975,77.67,NonQuickDelivery,53
2026-03,12.99,77.76,NonQuickDelivery,52
2026-03,12.885,77.61,QuickDelivery,52
2026-03,12.975,77.52,NonQuickDelivery,51
2026-03,13.02,77.655,NonQuickDelivery,50
2026-03,12.855,77.67,NonQuickDelivery,50
2026-03,12.975,77.76,NonQuickDelivery,48
2026-03,13.02,77.535,NonQuickDelivery,48
2026-03,12.93,77.745,NonQuickDelivery,46
2026-03,13.02,77.715,NonQuickDelivery,46
2026-03,12.975,77.715,NonQuickDelivery,46
2026-03,13.02,77.7,NonQuickDelivery,45
2026-03,13.005,77.67,NonQuickDelivery,43
2026-03,13.005,77.655,NonQuickDelivery,43
2026-03,13.035,77.655,NonQuickDelivery,42
2026-03,13.05,77.595,NonQuickDelivery,41
2026-03,13.05,77.61,NonQuickDelivery,41
2026-03,12.975,77.73,NonQuickDelivery,40
2026-03,12.96,77.625,NonQuickDelivery,40
2026-03,12.87,77.61,QuickDelivery,40
2026-03,12.96,77.73,NonQuickDelivery,40
2026-03,12.885,77.58,NonQuickDelivery,40
2026-03,12.945,77.535,NonQuickDelivery,39
2026-03,12.87,77.58,NonQuickDelivery,39
2026-03,13.035,77.58,NonQuickDelivery,39
2026-03,13.065,77.595,NonQuickDelivery,39
2026-03,12.945,77.685,NonQuickDelivery,37
2026-03,13.02,77.67,NonQuickDelivery,37
2026-03,12.99,77.73,NonQuickDelivery,36
2026-03,12.915,77.7,QuickDelivery,36
2026-03,12.915,77.505,NonQuickDelivery,35
2026-03,12.975,77.505,NonQuickDelivery,34
2026-03,12.87,77.595,NonQuickDelivery,34
2026-03,13.005,77.52,NonQuickDelivery,34
2026-03,12.87,77.67,QuickDelivery,33
2026-03,12.99,77.64,NonQuickDelivery,33
2026-03,13.05,77.505,NonQuickDelivery,33
2026-03,13.035,77.67,NonQuickDelivery,33
2026-03,12.99,77.745,NonQuickDelivery,32
2026-03,13.05,77.64,NonQuickDelivery,32
2026-03,12.96,77.745,NonQuickDelivery,32
2026-03,13.005,77.715,NonQuickDelivery,32
2026-03,12.87,77.655,QuickDelivery,31
2026-03,13.02,77.52,NonQuickDelivery,31
2026-03,12.9,77.535,NonQuickDelivery,31
2026-03,13.005,77.685,NonQuickDelivery,30
2026-03,13.02,77.685,NonQuickDelivery,29
2026-03,12.885,77.565,NonQuickDelivery,29
2026-03,12.93,77.535,NonQuickDelivery,29
2026-03,12.96,77.505,NonQuickDelivery,29
2026-03,12.84,77.64,NonQuickDelivery,29
2026-03,12.855,77.655,NonQuickDelivery,28
2026-03,12.87,77.64,QuickDelivery,28
2026-03,13.095,77.58,NonQuickDelivery,27
2026-03,12.9,77.715,NonQuickDelivery,26
2026-03,12.855,77.685,NonQuickDelivery,26
