lat,lng,sla_bucket,orders_window,orders_per_day
12.915,77.64,QuickDelivery,840,9.333
12.9,77.64,QuickDelivery,766,8.511
12.93,77.61,QuickDelivery,675,7.5
12.915,77.61,QuickDelivery,610,6.778
12.93,77.625,QuickDelivery,593,6.589
12.9,77.565,NonQuickDelivery,525,5.833
12.96,77.58,NonQuickDelivery,511,5.678
12.945,77.625,QuickDelivery,468,5.2
12.96,77.595,NonQuickDelivery,437,4.856
12.9,77.655,QuickDelivery,436,4.844
12.96,77.715,NonQuickDelivery,427,4.744
12.915,77.625,QuickDelivery,407,4.522
12.93,77.67,QuickDelivery,403,4.478
12.975,77.58,NonQuickDelivery,394,4.378
12.915,77.655,QuickDelivery,383,4.256
13.005,77.565,NonQuickDelivery,380,4.222
12.975,77.64,NonQuickDelivery,378,4.2
12.9,77.625,NonQuickDelivery,332,3.689
12.945,77.595,NonQuickDelivery,310,3.444
12.96,77.565,NonQuickDelivery,295,3.278
12.885,77.64,QuickDelivery,295,3.278
12.96,77.55,NonQuickDelivery,294,3.267
12.975,77.625,NonQuickDelivery,289,3.211
12.9,77.61,QuickDelivery,286,3.178
13.035,77.61,NonQuickDelivery,270,3.0
12.93,77.64,NonQuickDelivery,265,2.944
13.035,77.595,NonQuickDelivery,263,2.922
12.9,77.67,QuickDelivery,263,2.922
12.975,77.55,NonQuickDelivery,262,2.911
12.945,77.715,NonQuickDelivery,260,2.889
12.915,77.67,QuickDelivery,258,2.867
12.975,77.565,NonQuickDelivery,257,2.856
12.96,77.655,NonQuickDelivery,257,2.856
12.945,77.565,NonQuickDelivery,255,2.833
12.945,77.7,NonQuickDelivery,255,2.833
13.02,77.595,NonQuickDelivery,252,2.8
13.005,77.55,NonQuickDelivery,251,2.789
12.99,77.685,NonQuickDelivery,250,2.778
12.9,77.595,QuickDelivery,245,2.722
12.96,77.64,NonQuickDelivery,239,2.656
12.945,77.58,NonQuickDelivery,238,2.644
12.99,77.58,NonQuickDelivery,235,2.611
12.99,77.61,NonQuickDelivery,230,2.556
13.035,77.565,NonQuickDelivery,229,2.544
12.96,77.7,NonQuickDelivery,225,2.5
12.93,77.7,NonQuickDelivery,221,2.456
13.005,77.58,NonQuickDelivery,219,2.433
13.02,77.55,NonQuickDelivery,211,2.344
12.99,77.595,NonQuickDelivery,208,2.311
12.975,77.595,NonQuickDelivery,207,2.3
12.99,77.715,NonQuickDelivery,206,2.289
12.915,77.595,QuickDelivery,202,2.244
13.035,77.64,NonQuickDelivery,201,2.233
12.99,77.55,NonQuickDelivery,200,2.222
12.975,77.61,NonQuickDelivery,198,2.2
12.885,77.655,QuickDelivery,196,2.178
